code,date,boards,turn,mom5,mom20,lim10,lim20,vol_ratio,log_amt,prev_pct,prev_limit,total_lim,y
002674,2026-06-23,3,0.3041,30.090090090090087,35.62930494677522,2.0,3.0,0.07997016416704993,7.284950876235076,10.0,True,88,1
002674,2026-06-24,4,0.7931,48.84447220487195,50.727387729285255,3.0,3.0,0.28417204926613476,7.742668751745091,10.0051,True,90,1
002674,2026-06-25,5,0.9903,61.094038106945305,72.32084155161078,4.0,4.0,0.4633596832531182,7.880475482449442,10.0185,True,82,1
002674,2026-06-26,6,2.574,61.061452513966486,88.43137254901958,5.0,5.0,1.8629812362892892,8.336678203604208,9.9874,True,53,1
002674,2026-06-29,7,21.3021,60.99542915185373,109.65608465608466,6.0,6.0,23.541327654303025,9.267936563351753,9.9962,True,93,0
002674,2026-07-02,1,14.8875,7.783288821060651,95.23151347615755,7.0,7.0,1.6173553389346156,9.046655371542967,-9.9895,False,86,0
002674,2026-07-08,1,9.1461,13.512461059190016,82.87327478042658,5.0,8.0,0.7213176550024964,8.87042962094935,-7.2778,False,41,0
002674,2026-07-23,1,8.7186,-14.125386996904027,-15.337657382678358,0.0,5.0,1.1789784459179025,8.72591462203491,0.9005,False,104,0
002674,2026-08-04,1,11.7881,-0.48780487804877737,-7.6226415094339615,1.0,2.0,1.1689981944346575,8.914656352198127,-2.2408,False,124,1
002674,2026-08-05,2,10.6678,21.63504968383016,-7.615780445969122,2.0,3.0,1.1411907286232195,8.911849332794182,10.0225,True,96,0
002675,2026-03-30,1,1.9286,18.300653594771248,12.335143522110158,0.0,0.0,1.523962210449738,8.317229878369579,4.6937,False,58,0
002676,2025-11-11,1,7.7686,13.481828839390403,6.1403508771929864,0.0,0.0,3.2572047059129905,8.716372848809174,4.6373,False,55,0
002676,2025-12-15,1,4.2711,9.215442092154419,-2.4471635150166975,0.0,0.0,2.051759501278519,8.415561525824748,0.1256,False,55,0
002676,2026-06-09,1,2.8034,7.7777777777777715,-19.834710743801637,0.0,0.0,1.3701512828879383,8.059723415680946,-5.8719,False,110,0
002677,2025-10-28,1,5.0728,8.779149519890254,2.5873221216041316,0.0,0.0,3.874219817079575,8.326128850695127,0.6983,False,52,0
002677,2025-12-19,1,4.606,12.178619756427594,2.345679012345684,0.0,0.0,3.3164203674065957,8.307151107822776,3.2877,False,69,0
002677,2026-01-08,1,7.8651,22.448979591836718,31.274131274131264,0.0,1.0,2.04557645123215,8.612706757256706,7.0439,False,80,0
002677,2026-07-03,1,0.9665,10.657193605683844,-16.375838926174495,0.0,0.0,0.8204456600373007,7.513846769855496,0.177,False,93,0
002677,2026-07-08,1,3.8474,16.283185840707958,-3.947368421052616,1.0,1.0,2.1764105372680995,8.122500734161452,-0.8306,False,41,1
002677,2026-07-09,2,2.7793,27.73851590106007,8.721804511278194,2.0,2.0,1.347864237471422,8.032191736799378,10.0503,True,64,0
002678,2025-10-17,1,6.4549,15.315315315315317,9.635974304068526,0.0,0.0,8.094359136956498,8.645690232815573,0.6494,False,36,0
002678,2025-10-22,1,2.8779,21.86147186147184,21.598272138228936,1.0,1.0,1.120276014565616,8.33443353948,-0.7752,False,56,1
002678,2025-10-23,2,5.3143,33.11827956989245,35.152838427947614,2.0,2.0,1.981886699425791,8.646563593553338,9.9609,True,50,1
002678,2025-10-24,3,6.4027,33.0078125,50.6637168141593,3.0,3.0,1.7963787150513526,8.735877117500179,9.9467,True,52,0
002678,2025-12-22,1,2.6359,13.4736842105263,6.7326732673267315,0.0,0.0,4.334155504547647,8.270179192855416,3.8136,False,76,0
002678,2026-01-29,1,2.7424,4.259259259259252,6.4272211720226835,0.0,0.0,3.1901195247295973,8.307652068147787,-1.9157,False,83,0
002678,2026-02-02,1,1.7688,9.659090909090892,5.656934306569326,1.0,1.0,1.0898596106886775,8.131667326083623,-6.5719,False,32,0
002678,2026-02-25,1,2.2972,2.8428093645485006,15.819209039548028,0.0,2.0,1.174600203299139,8.266283745034956,1.6364,False,68,0
002678,2026-04-03,1,4.395,15.399239543726239,3.4071550255536636,0.0,0.0,3.895648711384853,8.549423503175346,4.943,False,28,0
002678,2026-04-13,1,2.1651,-4.448105436573329,9.848484848484844,1.0,1.0,0.5118994275008163,8.21644769623867,-6.7257,False,55,0
002679,2025-10-30,1,9.1113,14.478417266187066,20.32136105860114,0.0,0.0,1.3108112431161807,8.405630389627134,-6.0114,False,44,1
002679,2025-10-31,2,7.4619,24.333925399644755,35.004821600771464,1.0,1.0,1.0504096838967307,8.37787238077468,10.0259,True,51,0
002679,2025-11-04,1,17.4739,22.989439480097488,43.235572374645216,2.0,2.0,1.6805195554114158,8.759396687799791,-1.7143,False,46,0
002679,2025-11-17,1,16.1359,25.61247216035636,46.240276577355246,1.0,3.0,1.1919988015013008,8.78108012562193,2.3287,False,75,0
002679,2025-12-05,1,7.6176,9.445277361319341,7.274063188831747,0.0,1.0,1.0207341447224703,8.400591026892329,-3.7708,False,64,1
002679,2025-12-08,2,7.2217,21.299093655589104,19.227913882702282,1.0,2.0,1.0723640450505867,8.43616313924089,10.0226,True,67,0
002679,2026-01-23,1,4.8804,15.655233069481113,4.7808764940239,0.0,0.0,2.5450402997026753,8.163736950208447,1.7888,False,84,0
002679,2026-08-28,1,5.5207,15.601300108342357,25.974025974025963,0.0,0.0,3.5599840919367285,8.13503754205284,0.7269,False,78,1
002679,2026-08-31,2,2.1475,26.918918918918905,33.86545039908782,1.0,1.0,1.0190320221233808,7.77405587328571,10.0,True,79,1
002679,2026-09-01,3,2.5938,34.61939520333681,48.050458715596335,2.0,2.0,1.2261968899600804,7.897317737629372,10.0281,True,77,0
002679,2026-09-16,1,5.5849,-0.7915567282321945,24.366041896361622,0.0,3.0,0.832960237166372,8.15147369765494,-3.3019,False,80,0
002681,2025-11-26,1,8.7204,8.393632416787256,11.292719167904906,0.0,0.0,2.0694255206157277,8.994550143465828,1.9461,False,58,0
002681,2026-07-10,1,5.3861,5.5084745762711975,2.8925619834710687,0.0,0.0,1.9072171364660022,8.615921717097219,6.8396,False,83,0
002681,2026-08-03,1,4.3022,13.603818615751777,7.4492099322799135,0.0,1.0,1.6305415837013777,8.494043627179673,1.8824,False,69,0
002682,2025-10-24,1,8.9172,18.04008908685968,13.978494623655905,0.0,0.0,2.656185781462731,8.419173166953675,1.2605,False,52,0
002682,2025-11-13,1,8.0162,14.591439688715951,31.47321428571425,0.0,1.0,1.1964220957946219,8.409803847493073,3.2819,False,78,1
002682,2025-11-14,2,2.0725,25.82524271844659,44.32071269487753,1.0,2.0,0.3431144253142178,7.878082817954158,10.0935,True,63,1
002682,2025-11-17,3,0.8131,37.64478764478764,56.017505470459525,2.0,3.0,0.1620034067779791,7.513232334523867,10.017,True,75,1
002682,2025-11-18,4,22.2023,51.351351351351354,65.7505285412262,3.0,4.0,5.81586213249996,8.990623591845498,10.0309,True,39,0
002682,2025-12-03,1,21.2235,21.910112359550567,24.952015355086374,0.0,4.0,1.3408603525460248,8.85923033026293,2.7778,False,49,1
002682,2025-12-04,2,8.1022,33.58208955223881,39.29961089494165,1.0,5.0,0.5664847579569475,8.507459248295026,9.9662,True,33,1
